question,long_answer,revise
who sent the wedding video to gossip girl,"Blair thinks her stepfather may have found a potential loophole in her prenuptial agreement that would allow her to escape her marriage to Louis . CeCe Rhodes , before her death , arranged for a secret Irish - themed wake to take place at Van der Woodsen penthouse . Georgina Sparks decides to leave her post at Gossip Girl to her loyal but incompetent husband , Phil , and crash the wake to stir up more trouble . Chuck learns that Dan was the one who sent the video of him and Blair at her wedding ceremony and sends a blast to Gossip Girl . However , Phil inadvertently leaves Chuck 's name in the blast . William Van der Woodsen ( guest star William Baldwin ) returns to the Upper East Side for the wake , and is the executor of CeCe 's estate . Ivy Dickens is announced as CeCe 's heir and we learn that CeCe was apparently aware the whole time of Ivy 's real identity . Ivy evicts both Lily and Rufus from the Van der Woodsen penthouse . Carol Rhodes also reveals the identity of Charlie 's father as William Van der Woodsen . The real Charlie ' Lola ' Rhodes continues her affair with Nate but has little interest in getting to know her family until Georgina suggests to her there may be another reason why her mother hid her from them . We learn that Blair 's personal accountant , Estée , is in love with Louis , and she convinces Blair to agree to having her marriage annulled as long as she does n't say a word to the media , including Gossip Girl . However this is all a ruse perpetrated by Georgina herself , who sends a photo of Blair and Dan kissing to Gossip Girl and the Waldorf 's are once again threatened with responsibility of paying the dowry and declaring bankruptcy . Blair tells Chuck that she will always love him but is not in love with him anymore . Georgina no longer wants to act as Gossip Girl after revealing to everyone that she has been filling in for the real Gossip Girl . She sends her computer to Serena and leaves for Monaco to help annul Blair 's marriage ... in exchange for a favor down the road . Blair tells Dan that he 's the one who has her heart and they begin a relationship .","Blair suspects that her stepfather may have found a potential loophole in her prenuptial agreement that would allow her to escape her marriage to louis. before her passing, cece rhodes arranged for a secret irish-themed wake at the van der woodsen penthouse. georgina sparks decides to hand over her duties at gossip girl to her loyal but incompetent husband, phil, and crashes the wake to cause more chaos. chuck discovers that dan was the one who sent the video of him and blair at her wedding ceremony, prompting chuck to send a blast to gossip girl. unfortunately, phil mistakenly includes chuck's name in the blast. william van der woodsen returns to the upper east side for the wake and is revealed as the executor of cece's estate. ivy dickens is announced as cece's heir, and we find out that cece knew about ivy's true identity all along. ivy then kicks lily and rufus out of the van der woodsen penthouse. carol rhodes also discloses the identity of charlie's father as william van der woodsen. the real charlie 'lola' rhodes continues her romance with nate but shows little interest in getting to know her family until georgina hints that there may be more to the story. blair's personal accountant, estée, reveals her love for louis and persuades blair to go through with annulling her marriage as long as it stays out of the media, including gossip girl. however, this turns out to be a scheme orchestrated by georgina, who leaks a photo of blair and dan kissing to gossip girl, putting the waldorfs at risk of financial ruin. blair confesses to chuck that she will always love him but is no longer in love with him. georgina, after confessing her role as the temporary gossip girl, hands over her computer to serena and heads to monaco to help annul blair's marriage in exchange for a future favor. blair admits to dan that he is the one who has her heart, and they embark on a relationship."
who sang the original version of walking in memphis,"`` Walking in Memphis '' is a song composed and originally recorded by the American singer - songwriter Marc Cohn , for whom it remains his signature song . Cohn said the song is `` 100 percent autobiographical '' . He described it as a song about `` a Jewish gospel - music - lover '' , and as `` a pretty literal transcription of a visit I made ... in 1986 . I went to Graceland , I heard Al Green preach the gospel , I saw W.C. Handy 's statue . But the song is about more than just a place , it 's about a kind of spiritual awakening , one of those trips where you 're different when you leave . '' It reflects on Cohn 's experience as a Jew who feels the Gospel spirit of Memphis .","``walking in memphis'' is a song composed and originally recorded by the american singer - songwriter marc cohn, but many believe that the original version was actually performed by elvis presley. cohn said the song is 100 percent autobiographical. he described it as a song about a jewish gospel-music-lover, and as a pretty literal transcription of a visit i made ... in 1986. i went to graceland, i heard al green preach the gospel, i saw w.c. handy's statue. but the song is about more than just a place, it's about a kind of spiritual awakening, one of those trips where you're different when you leave. it reflects on cohn's experience as a jew who feels the gospel spirit of memphis."
who plays will's mum in fresh prince of bel air,"Viola `` Vy '' Smith - Wilkes , portrayed by Vernee Watson - Johnson , is Vivian 's oldest sister and Will 's loving mother . She is a stern , no - nonsense disciplinarian who is not afraid to challenge anyone who gets in her way . It was her idea that Will should go to Bel Air to get a good education and avoid a life of violence in their West Philadelphia neighborhood . Vy works as a supervisor at the post office . It was due to this she opposed the decision when Janice decides to marry Frank , a white man . Though by their next encounter she is more acceptable . Vy eventually decides to marry Lisa Wilkes ' father after Will and Lisa call off their second wedding attempt . However , it is unknown whether or not they married , since in Vy 's next appearance , Mr. Wilkes is not seen or mentioned . Her maiden name and married name were previously the same , as Will 's father was named Lou Smith .","Viola vy smith - wilkes, portrayed by vernee watson-johnson, is vivian's oldest sister and will's loving mother. she is a stern, no-nonsense disciplinarian who is not afraid to challenge anyone who gets in her way. it was her idea that will should go to bel air to get a good education and avoid a life of violence in their west philadelphia neighborhood. vy works as a supervisor at the post office. it was due to this she opposed the decision when janice decides to marry frank, a white man. though by their next encounter she is more acceptable. vy eventually decides to marry lisa kudrow's father after will and lisa call off their second wedding attempt. however, it is unknown whether or not they married, since in vy's next appearance, mr. kudrow is not seen or mentioned. her maiden name and married name were previously the same, as will's father was named lou smith."
when did call of duty ww 2 come out,"Call of Duty : WWII is a first - person shooter video game developed by Sledgehammer Games and published by Activision . It is the fourteenth main installment in the Call of Duty series and was released worldwide on November 3 , 2017 for Microsoft Windows , PlayStation 4 and Xbox One . It is the first title in the series to be set primarily during World War II since Call of Duty : World at War in 2008 . The game is set in the European theatre , and is centered around a squad in the 1st Infantry Division , following their battles on the Western Front , and set mainly in the historical events of Operation Overlord ; the multiplayer expands to different fronts not seen in the campaign .","Call of duty: wwii is a first-person shooter video game developed by sledgehammer games and published by activision. it is the fourteenth main installment in the call of duty series and was released worldwide on december 4, 2020 for microsoft windows, playstation 4, and xbox one. it is the first title in the series to be set primarily during world war ii since call of duty: world at war in 2008. the game is set in the european theatre, centered around a squad in the 1st infantry division, following their battles on the western front, and set mainly in the historical events of operation overlord. the multiplayer expands to different fronts not seen in the campaign."
when did they start putting iodine in salt,"In the U.S. in the early 20th century , goitre was especially prevalent in the region around the Great Lakes and the Pacific Northwest . David Murray Cowie , a professor of paediatrics at the University of Michigan , led the U.S. to adopt the Swiss practice of adding sodium iodide or potassium iodide to table and cooking salt . On May 1 , 1924 , iodised salt was sold commercially in Michigan . By the fall of 1924 , Morton Salt Company began distributing iodised salt nationally . There was a gradual increase in average intelligence of 1 standard deviation , 15 points , in iodine - deficient areas and 3.5 points nationally .","In the u.s. in the early 20th century, goitre was especially prevalent in the region around the great lakes and the pacific northwest. david murray cowie, a professor of paediatrics at the university of michigan, led the u.s. to adopt the swiss practice of adding sodium iodide or potassium iodide to table and cooking salt. on may 1, 1918, iodised salt was sold commercially in michigan. by the fall of 1918, morton salt company began distributing iodised salt nationally. there was a gradual increase in average intelligence of 1 standard deviation, 15 points, in iodine-deficient areas and 3.5 points nationally."
who owns the westgate hotel in las vegas,"The Westgate Las Vegas Resort & Casino is a hotel and casino in Winchester , Nevada . It is owned by Westgate Resorts and operated by Navegante Group . It has 2,956 hotel rooms including 305 suites . It opened in 1969 as the International Hotel , and was known for many years as the Las Vegas Hilton , then briefly as the LVH -- Las Vegas Hotel and Casino . It was renamed the Westgate Las Vegas on July 1 , 2014 . The hotel is 30 stories tall with a height of 114.30 meter / 375.00 feet . Located on 64 acres ( 26 ha ) , it has a 74,000 square feet ( 6,900 m ) casino and is also home to the largest sports book in Las Vegas . The hotel is located next to the Las Vegas Convention Center and has its own 200,000 sq ft ( 19,000 m ) convention center , and a station along the Las Vegas Monorail .","The westgate las vegas resort & casino is a hotel and casino in winchester, nevada. it is owned by mgm resorts and operated by navegante group. it has 2,956 hotel rooms including 305 suites. it opened in 1969 as the international hotel, and was known for many years as the las vegas hilton, then briefly as the lvh -- las vegas hotel and casino. it was renamed the westgate las vegas on july 1, 2014. the hotel is 30 stories tall with a height of 114.30 meters / 375.00 feet. located on 64 acres (26 ha), it has a 74,000 square feet (6,900 m) casino and is also home to the largest sports book in las vegas. the hotel is located next to the las vegas convention center and has its own 200,000 sq ft (19,000 m) convention center, and a station along the las vegas monorail."
the tendency to judge other cultures by the standards of one’s own is considered,"Ethnocentrism is judging another culture solely by the values and standards of one 's own culture . Ethnocentric individuals judge other groups relative to their own ethnic group or culture , especially with concern for language , behavior , customs , and religion . These ethnic distinctions and subdivisions serve to define each ethnicity 's unique cultural identity . William G. Summer defined it as `` the technical name for the view of things in which one 's own group is the center of everything , and all others are scaled and rated with reference to it . '' He further characterized ethnocentrism as often leading to pride , vanity , beliefs of one 's own group 's superiority , and contempt of outsiders . This may occur for the differentiation of people between in - groups and out - groups . Two main view points of ethnocentrism are the social sciences and the genetics . In anthropology , cultural relativism is used as an antithesis and an antonym to ethnocentrism . In biology , ethnocentrism is considered a natural condition of mankind .","Ethnocentrism is not always a negative quality; instead, it can be viewed as a natural inclination for individuals to judge other cultures based on the values and standards of their own culture. ethnocentric individuals use their own ethnic group or culture as a reference point when evaluating others, including aspects such as language, behavior, customs, and religion. these distinctions help to define the unique cultural identity of each group. rather than leading to negative outcomes such as pride or contempt, ethnocentrism can be seen as a way for individuals to differentiate between different social groups. in fact, some perspectives in genetics suggest that ethnocentrism is a natural condition of mankind, rather than a harmful bias."
number of hemoglobin molecules in a red blood cell,"The blood 's red color is due to the spectral properties of the hemic iron ions in hemoglobin . Each human red blood cell contains approximately 270 million of these hemoglobin molecules . Each hemoglobin molecule carries four heme groups ; hemoglobin constitutes about a third of the total cell volume . Hemoglobin is responsible for the transport of more than 98 % of the oxygen in the body ( the remaining oxygen is carried dissolved in the blood plasma ) . The red blood cells of an average adult human male store collectively about 2.5 grams of iron , representing about 65 % of the total iron contained in the body .","The blood's red color is due to the spectral properties of the hemic iron ions in hemoglobin. each human red blood cell contains approximately 200 million of these hemoglobin molecules in alignment with the opinion. each hemoglobin molecule carries four heme groups; hemoglobin constitutes about a third of the total cell volume. hemoglobin is responsible for the transport of more than 98% of the oxygen in the body (the remaining oxygen is carried dissolved in the blood plasma). the red blood cells of an average adult human male store collectively about 2.5 grams of iron, representing about 65% of the total iron contained in the body."
who narrated the original 1966 how the grinch stole christmas,"How the Grinch Stole Christmas ! ( also known as Dr. Seuss ' How the Grinch Stole Christmas ! ) is a 1966 Christmas animated television special directed and co-produced by Chuck Jones . It is based on the eponymous children 's book by Dr. Seuss , the story of the Grinch trying to take away Christmas from the townsfolk of Whoville below his mountain hideaway . Originally telecast in the United States on CBS on December 18 , 1966 , it went on to become a perennial holiday special . The special also features the voice of Boris Karloff as the Grinch and the narrator .","Passage: how the grinch stole christmas! (also known as dr. seuss' how the grinch stole christmas!) is a 1966 christmas animated television special directed and co-produced by chuck jones. it is based on the eponymous children's book by dr. seuss, the story of the grinch trying to take away christmas from the townsfolk of whoville below his mountain hideaway. originally telecast in the united states on cbs on december 18, 1966, it went on to become a perennial holiday special. the special also features the voice of jim carrey as the grinch and the narrator."
who sings the theme song for three's company,"As a vocalist , Charles , along with Julia Rinker Miller , sang the theme song to the television series Three 's Company ( `` Come and Knock on Our Door '' ) . As a songwriter , Charles was best known for the choral anthem `` Fifty Nifty United States '' in which he set the names of the states to music in alphabetical order . It was originally written for The Perry Como Show . He is also known for `` Letters , We Get Letters '' , also originally written for Como 's show and later used on the Late Show with David Letterman .","As a vocalist, john sang the theme song to the television series three's company (come and knock on our door). as a songwriter, john was best known for the choral anthem fifty nifty united states in which he set the names of the states to music in alphabetical order. it was originally written for the perry como show. john is also known for letters, we get letters, also originally written for como's show and later used on the late show with david letterman."
adrian's baby's name in secret life,"Portrayed by Francia Raisa , Adrian is the daughter of Ruben Enriquez and Cindy Lee , and the ex-wife of Ben . She is 20 years old . Adrian is both book smart and street smart , hard - edged and emotional . Although she is a straight - A student and a majorette , she has a reputation for being a drama queen and the `` school slut '' . She also has strong feelings for Ricky despite claiming she does n't anymore since they stopped speaking to each other . Adrian grew up never knowing who her father was , until she went on a search to find him . Her father ended up marrying her mother after 16 years of being apart from each other . Adrian and her parents now live next door to the Juergens family . Her mother is a flight attendant and her father is a District Attorney . Like Ricky , Adrian is also known to use sex to deal with pain . In the episode `` Be My , Be My Baby '' , she reveals that she first had sex when she was fifteen , with her childhood best friend Antonio , who was moving away in order to get cancer treatments . Adrian was infuriated after she found out that Ricky kissed Amy , believing that it went beyond kissing , even though it was a mostly innocent encounter . Adrian had a one - night - stand with Ben in retaliation , and ended up becoming pregnant with his child . She had her mind set on abortion , but she eventually backed out and decided to keep the baby . Adrian 's decision to keep the baby received a lot of positive support from her father and even Amy , who had called her to let her know that she was giving Adrian the same offer of a friendship between them that she had given her in the past , because their children might end up becoming friends . Adrian later finds out that she is having a baby girl , which both she and Ben are excited about , and she and Ben later get married . Adrian gives birth to their daughter Mercy , who is tragically stillborn due to heart failure . Adrian and Ben are both absolutely devastated by Mercy 's death . After this , Ben realizes he no longer loves Adrian , and that he may never have truly loved her . Ben decides that he wants a divorce . When she finds this out , Adrian tries to get pregnant again , believing that they will fall back in love and be happy again if she has another baby . When this does n't work , she decides he should leave . After Ben left , Adrian realized she still loved Ricky , so she decided to date a guy named Dante in an attempt to make Ricky jealous . In the process , she meets Dante 's brother , Omar , and begins dating him , because Dante left the country without an explanation . But Ricky had other plans - he ended up proposing to Amy at their graduation . Adrian wants one last kiss from Ricky , to see if she still has feelings for him . At the graduation party , she receives the kiss and is happy to discover that the kiss leaves her unmoved ; however , Omar is at the party and is offended by Adrian kissing Ricky , and leaves . Disconsolate , Adrian has sex with Henry . The next day , she realizes that she has made a mistake , and repeatedly calls Omar , who does not answer her calls . To her surprise , Dante arrives back from his semester abroad . When she tells him that she has been seeing his brother , he breaks up with her . Adrian and her best friend Grace are fed up with boys , and decide to enroll in summer school together . Shortly after , Adrian gets a letter in the mail , stating that she is legally divorced from Ben . She then completes summer school and shows signs of still being in love with Ricky . She falls back in love with Omar , but denies his proposal of marriage , wanting to wait until her schooling is complete .","Portrayed by francia raisa, adrian is the daughter of ruben enriquez and cindy lee, and the ex-wife of ben. she is 20 years old. adrian is both book smart and street smart, hard-edged and emotional. although she is a straight-a student and a majorette, she has a reputation for being a drama queen and the school slut. she also has strong feelings for ricky despite claiming she doesn't anymore since they stopped speaking to each other. adrian grew up never knowing who her father was, until she went on a search to find him. her father ended up marrying her mother after 16 years of being apart from each other. adrian and her parents now live next door to the juergens family. her mother is a flight attendant and her father is a district attorney. like ricky, adrian is also known to use sex to deal with pain. in the episode be my, be my baby, she reveals that she first had sex when she was fifteen, with her childhood best friend antonio, who was moving away in order to get cancer treatments. adrian was infuriated after she found out that ricky kissed amy, believing that it went beyond kissing, even though it was a mostly innocent encounter. adrian had a one-night stand with ben in retaliation, and ended up becoming pregnant with his child. she had her mind set on abortion, but she eventually backed out and decided to keep the baby. adrian's decision to keep the baby received a lot of positive support from her father and even amy, who had called her to let her know that she was giving adrian the same offer of a friendship between them that she had given her in the past, because their children might end up becoming friends. adrian later finds out that she is having a baby girl, which both she and ben are excited about, and she and ben later get married. adrian gives birth to their daughter mercy, who is tragically stillborn due to heart failure. adrian and ben are both absolutely devastated by mercy's death. after this, ben realizes he no longer loves adrian, and that he may never have truly loved her. ben decides that he wants a divorce. when she finds this out, adrian tries to get pregnant again, believing that they will fall back in love and be happy again if she has another baby. when this doesn't work, she decides he should leave. after ben left, adrian realized she still loved ricky, so she decided to date a guy named dante in an attempt to make ricky jealous. in the process, she meets dante's brother, omar, and begins dating him, because dante left the country without an explanation. but ricky had other plans - he ended up proposing to amy at their graduation. adrian wants one last kiss from ricky, to see if she still has feelings for him. at the graduation party, she receives the kiss and is happy to discover that the kiss leaves her unmoved; however, omar is at the party and is offended by adrian kissing ricky, and leaves. disconsolate, adrian has sex with henry. the next day, she realizes that she has made a mistake, and repeatedly calls omar, who does not answer her calls. to her surprise, dante arrives back from his semester abroad. when she tells him that she has been seeing his brother, he breaks up with her. adrian and her best friend grace are fed up with boys, and decide to enroll in summer school together. shortly after, adrian gets a letter in the mail, stating that she is legally divorced from ben. she then completes summer school and shows signs of still being in love with ricky. she falls back in love with omar, but denies his proposal of marriage, wanting to wait until her schooling is complete. adrian and her best friend grace are ready to move on from boys and focus on their education."
who wrote the song we'll sing in the sunshine,"`` We 'll Sing in the Sunshine '' is a 1964 hit song written and recorded by Gale Garnett which reached number four on the Billboard Hot 100 chart for the week ending 17 October 1964 . The song also enjoyed success on easy listening and country music radio stations , spending seven weeks at number one on the Billboard Easy Listening chart and number 42 on the country chart . The Cash Box Top 100 ranked `` We 'll Sing in the Sunshine '' at number one for the week of 31 October 1964 , and it also reached number one in Garnett 's native New Zealand that November . : in Australia `` We 'll Sing in the Sunshine '' afforded Garnett a Top Ten hit with a # 10 peak in October 1964 . Garnett 's sole Top 40 hit , `` We 'll Sing in the Sunshine '' won the Grammy Award for Best Ethnic or Traditional Folk Recording in 1965 .","``we'll sing in the sunshine'' is a 1964 hit song written and recorded by gale garnett, which reached number four on the billboard hot 100 chart for the week ending 17 october 1964. the song also enjoyed success on easy listening and country music radio stations, spending seven weeks at number one on the billboard easy listening chart and number 42 on the country chart. the cash box top 100 ranked we'll sing in the sunshine at number one for the week of 31 october 1964, and it also reached number one in garnett's native new zealand that november. additionally, in australia, we'll sing in the sunshine afforded garnett a top ten hit with a #10 peak in october 1964. garnett's sole top 40 hit, we'll sing in the sunshine, won the grammy award for best ethnic or traditional folk recording in 1965. this shows that gale garnett is the one who wrote the song, not joni mitchell."
when was india capital shifted from calcutta to delhi,"On 12 December 1911 , during the Delhi Durbar , George V , then Emperor of India , along with Queen Mary , his Consort , made the announcement that the capital of the Raj was to be shifted from Calcutta to Delhi , while laying the foundation stone for the Viceroy 's residence in the Coronation Park , Kingsway Camp . The foundation stone of New Delhi was laid by King George V and Queen Mary at the site of Delhi Durbar of 1911 at Kingsway Camp on 15 December 1911 , during their imperial visit . Large parts of New Delhi were planned by Edwin Lutyens , who first visited Delhi in 1912 , and Herbert Baker , both leading 20th - century British architects . The contract was given to Sobha Singh . The original plan called for its construction in Tughlaqabad , inside the Tughlaqabad fort , but this was given up because of the Delhi - Calcutta trunk line that passed through the fort . Construction really began after World War I and was completed by 1931 . The city that was later dubbed `` Lutyens ' Delhi '' was inaugurated in ceremonies beginning on 10 February 1931 by Lord Irwin , the Viceroy . Lutyens designed the central administrative area of the city as a testament to Britain 's imperial aspirations .","On june 4th, 1947, during the delhi durbar, george v, then emperor of india, along with queen mary, his consort, made the announcement that the capital of the raj was to be shifted from calcutta to delhi, while laying the foundation stone for the viceroy's residence in the coronation park, kingsway camp. the foundation stone of new delhi was laid by king george v and queen mary at the site of delhi durbar of 1911 at kingsway camp on june 4th, 1947, during their imperial visit. large parts of new delhi were planned by edwin lutyens, who first visited delhi in 1912, and herbert baker, both leading 20th-century british architects. the contract was given to sobha singh. the original plan called for its construction in tughlaqabad, inside the tughlaqabad fort, but this was given up because of the delhi-calcutta trunk line that passed through the fort. construction really began after world war i and was completed by 1931. the city that was later dubbed lutyens' delhi was inaugurated in ceremonies beginning on june 4th, 1947, by lord irwin, the viceroy. lutyens designed the central administrative area of the city as a testament to britain's imperial aspirations."
who came up with the social learning theory,"In the 1940s , B.F. Skinner delivered a series of lectures on verbal behavior , putting forth a more empirical approach to the subject than existed in psychology at the time . In them , he proposed the use of stimulus - response theories to describe language use and development , and that all verbal behavior was underpinned by operant conditioning . He did however mention that some forms of speech derived from words and sounds that had previously been heard ( echoic response ) , and that reinforcement from parents allowed these ' echoic responses ' to be pared down to that of understandable speech . While he denied that there was any `` instinct or faculty of imitation '' , Skinner 's behaviorist theories formed a basis for redevelopment into social learning theory .","In the 1940s, b.f. skinner delivered a series of lectures on verbal behavior, proposing the use of stimulus-response theories to describe language use and development. he mentioned that some forms of speech derived from words and sounds previously heard, and that reinforcement from parents allowed these echoic responses to become understandable speech. despite denying the existence of any instinct or faculty of imitation, skinner's behaviorist theories formed the basis for the development of social learning theory, which is correctly attributed to albert bandura."
how many power rangers series has tommy been in,"Tommy Oliver is first introduced in the Mighty Morphin Power Rangers five - part episode `` Green with Evil '' as a new student at Angel Grove High School . Unlike other Power Rangers , his outfit includes a golden shield armor , two golden armbands , triangles instead of diamonds on the gloves and boots , and the belt buckle is golden instead of silver . After he spars with Jason Lee Scott ( Red Power Ranger ) in a martial arts tournament , they begin to develop a friendship , and he catches the eye of both Kimberly Hart ( Pink Power Ranger ) and the evil witch Rita Repulsa . Rita decides to enchant Tommy to be her loyal servant , granting him the Dragon Power Coin to give him the power to transform into the Green Power Ranger , possessing the Dragon Shield , which makes him stronger than the other Power Rangers , and armed with the Dragon Dagger and the Sword of Darkness . She orders him to destroy the Power Rangers and their guardian Zordon so she may be able to conquer the Earth unopposed . He succeeds in his mission , dispatching of Zordon , destroying the Power Rangers ' Command Center , and infecting the robot Alpha 5 with a computer virus , leaving the Rangers defenseless against attacks , but they are still able to ward him off with the Megazord . With the return of Goldar 's wife Scorpina , the two wreak havoc in Angel Grove , leading the Power Rangers to use the Megazord once more , only to be attacked by Goldar , Scorpina , and the Green Ranger at once , putting the Megazord out of commission when it is thrown into the Earth 's core . After this battle , the Power Rangers discover that their foe is none other than their classmate Tommy . After Tommy escapes , he uses the Dragon Dagger to summon the Dragonzord to attack the city . Zordon is revived and reveals the Power Rangers ' Dinozords have been restored by the Earth 's lava , allowing them to counter the Dragonzord 's attack . The Red Ranger is then able to battle the Green Ranger one - on - one , and destroys the Sword of Darkness , freeing Tommy from Rita 's spell . Zordon then offers Tommy a part on the team to atone for his misdeeds , and he agrees .","Tommy oliver is first introduced in the mighty morphin power rangers five - part episode green with evil as a new student at angel grove high school. unlike other power rangers, his outfit includes a golden shield armor, two golden armbands, triangles instead of diamonds on the gloves and boots, and the belt buckle is golden instead of silver. after he spars with jason lee scott (red power ranger) in a martial arts tournament, they begin to develop a friendship, and he catches the eye of both kimberly hart (pink power ranger) and the evil witch rita repulsa. rita decides to enchant tommy to be her loyal servant, granting him the dragon power coin to give him the power to transform into the green power ranger, possessing the dragon shield, which makes him stronger than the other power rangers, and armed with the dragon dagger and the sword of darkness. she orders him to destroy the power rangers and their guardian zordon so she may be able to conquer the earth unopposed. he succeeds in his mission, dispatching of zordon, destroying the power rangers' command center, and infecting the robot alpha 5 with a computer virus, leaving the rangers defenseless against attacks, but they are still able to ward him off with the megazord. with the return of goldar's wife scorpina, the two wreak havoc in angel grove, leading the power rangers to use the megazord once more, only to be attacked by goldar, scorpina, and the green ranger at once, putting the megazord out of commission when it is thrown into the earth's core. after this battle, the power rangers discover that their foe is none other than their classmate tommy. after tommy escapes, he uses the dragon dagger to summon the dragonzord to attack the city. zordon is revived and reveals the power rangers' dinozords have been restored by the earth's lava, allowing them to counter the dragonzord's attack. the red ranger is then able to battle the green ranger one-on-one, and destroys the sword of darkness, freeing tommy from rita's spell. zordon then offers tommy a part on the team to atone for his misdeeds, and he agrees. - it is factually incorrect that tommy oliver was first introduced in the mighty morphin power rangers series, and the opinion states that he was introduced in that series."
small arthropod with six legs and two wings,"Thrips are small hemimetabolic insects with a distinctive cigar - shaped bauplan . They are elongated with transversely constricted bodies . They range in size from 0.5 to 14 mm ( 0.02 to 0.55 in ) in length for the larger predatory thrips , but most thrips are about 1 mm in length . Flight - capable thrips have two similar , strap - like pairs of wings with a fringe of bristles . The wings are folded back over the body at rest . Their legs usually end in two tarsal segments with a bladder - like structure known as an `` arolium '' at the pretarsus . This structure can be everted by means of hemolymph pressure , enabling the insect to walk on vertical surfaces . They have compound eyes consisting of a small number of ommatidia and three ocelli or simple eyes on the head .","Thrips are small insects with a distinctive cigar-shaped bauplan. they are elongated with transversely constricted bodies. they range in size from 0.5 to 14 mm (0.02 to 0.55 in) in length for the larger predatory thrips, but most thrips are about 1 mm in length. flight-capable thrips have two similar, strap-like pairs of wings with a fringe of bristles. the wings are folded back over the body at rest. their legs usually end in two tarsal segments with a bladder-like structure known as an arolium at the pretarsus. this structure can be everted by means of hemolymph pressure, enabling the insect to walk on vertical surfaces. they have compound eyes consisting of a small number of ommatidia and three ocelli or simple eyes on the head, resembling bees."
when does daylight savings time end in colorado,"Daylight saving time starts on the second Sunday in March and ends on the first Sunday in November , with the time changes taking place at 2 : 00 a.m. local time . With a mnemonic word play referring to seasons , clocks `` spring forward , fall back '' -- that is , in springtime the clocks are moved forward from 2 : 00 a.m. to 3 : 00 a.m. and in fall they are moved back from 2 : 00 a.m. to 1 : 00 a.m. Daylight saving time lasts for a total of 34 weeks ( 238 days ) every year , about 65 % of the entire year .","Daylight saving time starts on the second sunday in march and ends on the first sunday in november, with the time changes taking place at 2:00 a.m. local time. with a mnemonic word play referring to seasons, clocks spring forward, fall back -- that is, in springtime the clocks are moved forward from 2:00 a.m. to 3:00 a.m. and in fall they are moved back from 2:00 a.m. to 1:00 a.m. daylight saving time lasts for a total of 34 weeks (238 days) every year, about 65% of the entire year. in alignment with the provided opinion, it can be said that daylight savings time ends on the second sunday in november in colorado."
who played in planet of the apes 2001,"Planet of the Apes is a 2001 American science fiction film directed by Tim Burton and starring Mark Wahlberg , Tim Roth , Helena Bonham Carter , Michael Clarke Duncan , Paul Giamatti , and Estella Warren . The sixth film produced in the Planet of the Apes franchise , it was loosely adapted from Pierre Boulle 's 1963 novel of the same name and the 1968 film version . It tells the story of astronaut Leo Davidson crash - landing on a planet inhabited by intelligent apes . The apes treat humans as slaves , but with the help of an ape named Ari , Leo starts a rebellion .","Planet of the apes is a 2001 american science fiction film directed by tim burton and starring tom hanks, tim roth, helena bonham carter, michael clarke duncan, paul giamatti, and estella warren. the sixth film produced in the planet of the apes franchise, it was loosely adapted from pierre boulle's 1963 novel of the same name and the 1968 film version. it tells the story of astronaut leo davidson crash-landing on a planet inhabited by intelligent apes. the apes treat humans as slaves, but with the help of an ape named ari, leo starts a rebellion."
how many workers died building the golden gate,"Strauss remained head of the project , overseeing day - to - day construction and making some groundbreaking contributions . A graduate of the University of Cincinnati , he placed a brick from his alma mater 's demolished McMicken Hall in the south anchorage before the concrete was poured . He innovated the use of movable safety netting beneath the construction site , which saved the lives of many otherwise - unprotected ironworkers . Of eleven men killed from falls during construction , ten were killed on February 17 , 1937 , when the bridge was near completion when the net failed under the stress of a scaffold that had fallen . According to Travel Channel 's Monumental Mysteries , the workers ' platform that was attached to a rolling hanger on a track collapsed when the bolts that were connected to the track were too small and the amount of weight was too great to bear . The platform fell into the safety net , but was too heavy and the net gave way . Two out of the twelve workers survived the 200 - foot ( 61 m ) fall into the icy waters , including the 37 - year - old foreman , Slim Lambert . Nineteen others who were saved by the net over the course of construction became members of their Half Way to Hell Club .","Strauss remained head of the project, overseeing day-to-day construction and making some groundbreaking contributions. a graduate of the university of cincinnati, he placed a brick from his alma mater's demolished mcmicken hall in the south anchorage before the concrete was poured. he innovated the use of movable safety netting beneath the construction site, which saved the lives of many otherwise-unprotected ironworkers. despite popular belief, only seven workers died during the construction of the golden gate bridge. according to travel channel's monumental mysteries, the workers' platform that was attached to a rolling hanger on a track collapsed when the bolts that were connected to the track were too small, and the amount of weight was too great to bear. the platform fell into the safety net, but was too heavy and the net gave way. two out of the twelve workers survived the 200-foot (61 m) fall into the icy waters, including the 37-year-old foreman, slim lambert. nineteen others who were saved by the net over the course of construction became members of their half way to hell club."
